nomes,idade,cidade,estado,cpf,cnpj,cpf_status,cnpj_status
Deborah Hill,33,ACORIZAL,MT,78461044894,12817923842072,Válido,Válido
Lindsey Koch,72,ABAETETUBA,PA,81900740834,31706819238930,Válido,Válido
Charles Yates,71,ÁGUA BRANCA,PB,65586683784,78616996600779,Válido,Válido
Matthew Martinez,85,ABREU E LIMA,PE,43986854304,21120314419212,Válido,Válido
Victor Bradley,77,ACAUÃ,PI,94252857058,47357837297302,Válido,Válido
Joshua Carr,25,ABATIÁ,PR,23939707112,05835122020570,Válido,Válido
Evan Cochran,68,ANGRA DOS REIS,RJ,70166695564,77938477219769,Válido,Válido
John Cline,62,ACARI,RN,48406074604,77536642656200,Válido,Válido
Sarah Ellis,20,ALTA FLORESTA D'OESTE,RO,11565659791,27017130239145,Válido,Válido
Amy Burnett,20,AMAJARI,RR,05461868665,78896522190996,Válido,Válido
Donald Edwards,48,ACEGUÁ,RS,96525798582,74381216820226,Válido,Válido
Michael Smith,30,ABDON BATISTA,SC,98860416680,13228968233809,Válido,Válido
Jordan Green,32,AMPARO DE SÃO FRANCISCO,SE,74265673627,93322502277502,Válido,Válido
Jennifer Perez,18,ADAMANTINA,SP,59999876447,67315158075059,Válido,Válido
Kimberly Berry,50,ABREULÂNDIA,TO,86157181648,67528221852023,Válido,Válido
Micheal Rhodes,64,ACRELÂNDIA,AC,01027123015,01567761068587,Válido,Válido
Maria Holt,23,ÁGUA BRANCA,AL,44011869902,76858860759935,Válido,Válido
Sara Lopez,87,ALVARÃES,AM,08215363628,06841435616413,Válido,Válido
Max Velasquez,21,SERRA DO NAVIO,AP,82095280172,94975675983705,Válido,Válido
Dawn Mcdonald,81,ABAÍRA,BA,05938215994,20546307325236,Válido,Válido
Brittany Brown,53,ABAIARA,CE,31627419713,55228737706506,Válido,Válido
Patricia Meyer MD,31,Brasília,DF,43243581338,68879919276985,Válido,Válido
David Ray,37,AFONSO CLÁUDIO,ES,29800343555,73864442851427,Válido,Válido
Anthony Gross,39,ABADIA DE GOIÁS,GO,96562118476,46241882129385,Válido,Válido
Brittany Valencia,67,AÇAILÂNDIA,MA,28914778045,10142766881853,Válido,Válido
Logan Powell,60,ABADIA DOS DOURADOS,MG,79208533204,80572131619808,Válido,Válido
Andrew Mckinney,44,ÁGUA CLARA,MS,12452990698,05750437593809,Válido,Válido
Leroy Murphy,70,ACORIZAL,MT,33613085690,14759051804990,Válido,Válido
Kevin Burton,58,ABAETETUBA,PA,98943583656,90281213128519,Válido,Válido
Gregory Hayes,58,ÁGUA BRANCA,PB,17490517290,31171027002548,Válido,Válido
Jose Campbell,53,ABREU E LIMA,PE,18078365330,80533226507844,Válido,Válido
Jeremy Decker,28,ACAUÃ,PI,15095314240,44638202708603,Válido,Válido
Jenny Perez,75,ABATIÁ,PR,57306797425,05479656870807,Válido,Válido
Billy Rodriguez,85,ANGRA DOS REIS,RJ,15845046254,45458605325033,Válido,Válido
Aaron Hamilton,73,ACARI,RN,10688335993,96004515083166,Válido,Válido
Kathryn Bullock,51,ALTA FLORESTA D'OESTE,RO,43297123931,94922644081407,Válido,Válido
Rebecca Rowe,51,AMAJARI,RR,49114313421,10272842504030,Válido,Válido
Kenneth Elliott,66,ACEGUÁ,RS,30165654554,94604763578359,Válido,Válido
David Hughes,63,ABDON BATISTA,SC,52734128381,58501967514246,Válido,Válido
Jason Rose,49,AMPARO DE SÃO FRANCISCO,SE,79161800570,81720719081859,Válido,Válido
Donald Paul,50,ADAMANTINA,SP,37156750399,43457897571340,Válido,Válido
Dawn Smith,26,ABREULÂNDIA,TO,99591451237,87072454946483,Válido,Válido
Peter Munoz,49,ACRELÂNDIA,AC,53949179224,12276654408988,Válido,Válido
Mrs. Yesenia Barrett,88,ÁGUA BRANCA,AL,74610210525,50800865697977,Válido,Válido
Paul Thomas,88,ALVARÃES,AM,23560148880,69485546986030,Válido,Válido
Dr. Jennifer Williams,36,SERRA DO NAVIO,AP,44331026108,48607469045482,Válido,Válido
Darlene Wagner,69,ABAÍRA,BA,59392936893,11025510922525,Válido,Válido
Hannah Snyder,40,ABAIARA,CE,53907880102,13540261869460,Válido,Válido
Christopher Young,38,Brasília,DF,24594975984,71848458367870,Válido,Válido
Tracy Dixon,25,AFONSO CLÁUDIO,ES,27102355440,39877727099541,Válido,Válido
Kathy Le,87,ABADIA DE GOIÁS,GO,29372127515,76533194657615,Válido,Válido
Keith Luna,68,AÇAILÂNDIA,MA,80907706819,27585581694200,Válido,Válido
Shannon Sweeney,77,ABADIA DOS DOURADOS,MG,64159559697,97541235412315,Válido,Válido
Elizabeth Bell,59,ÁGUA CLARA,MS,86267356345,66053445574233,Válido,Válido
Heidi Bradley,25,ACORIZAL,MT,56729505400,18466160426096,Válido,Válido
Terry Reed,61,ABAETETUBA,PA,51608865401,27132745372467,Válido,Válido
Diane Hernandez,41,ÁGUA BRANCA,PB,48111470576,40787478716700,Válido,Válido
Rachel Warren,33,ABREU E LIMA,PE,23376857210,29002233200112,Válido,Válido
Maria Williams,42,ACAUÃ,PI,01992242186,41141212436110,Válido,Válido
Anne Miller,77,ABATIÁ,PR,17120157701,77621947090119,Válido,Válido
Jennifer Lewis,22,ANGRA DOS REIS,RJ,78325186267,43532550380560,Válido,Válido
Michael Wright,43,ACARI,RN,30197762875,14820218734400,Válido,Válido
Brianna Robertson,53,ALTA FLORESTA D'OESTE,RO,89303268970,16406257442520,Válido,Válido
Melanie Robles,21,AMAJARI,RR,73948798010,95310373128058,Válido,Válido
Angela Williams,73,ACEGUÁ,RS,20273841890,30637559535113,Válido,Válido
Derek Young,21,ABDON BATISTA,SC,65502725219,66113865011107,Válido,Válido
Blake Cunningham,45,AMPARO DE SÃO FRANCISCO,SE,26809028587,61408220409971,Válido,Válido
Kelly Adams,44,ADAMANTINA,SP,86807627092,28686902548318,Válido,Válido
Deborah Thomas,69,ABREULÂNDIA,TO,84534791607,37602155361550,Válido,Válido
Crystal Trevino,66,ACRELÂNDIA,AC,09108571996,28098660785980,Válido,Válido
Denise West,44,ÁGUA BRANCA,AL,82636980148,20396929563240,Válido,Válido
Connie King,65,ALVARÃES,AM,88810344413,62060107406561,Válido,Válido
Andrew Alvarez,90,SERRA DO NAVIO,AP,20842441964,92817873519520,Válido,Válido
Michael Lewis,73,ABAÍRA,BA,00891731806,76409412012409,Válido,Válido
Sonia Alvarado,42,ABAIARA,CE,21276936478,93726855515266,Válido,Válido
Elizabeth Miller,79,Brasília,DF,72350990036,41178451869687,Válido,Válido
Marc Cook,72,AFONSO CLÁUDIO,ES,44359336403,31571856880272,Válido,Válido
Patricia Mendoza,51,ABADIA DE GOIÁS,GO,62029146889,20732732058505,Válido,Válido
Michael Garcia,23,AÇAILÂNDIA,MA,64633032240,41439568362343,Válido,Válido
Mr. Jesse Fletcher,21,ABADIA DOS DOURADOS,MG,81282149008,48249914729001,Válido,Válido
Kyle Mora,63,ÁGUA CLARA,MS,00614722047,29653942966322,Válido,Válido
Leah Garcia,44,ACORIZAL,MT,16103865077,36497348564044,Válido,Válido
Anna Harrison,73,ABAETETUBA,PA,78361187898,86839992732692,Válido,Válido
Alexander Hodges,89,ÁGUA BRANCA,PB,99647012764,95097510088121,Válido,Válido
Anita Hernandez,30,ABREU E LIMA,PE,77322953584,10132381555681,Válido,Válido
Elizabeth Sims,88,ACAUÃ,PI,87840476740,29335557552958,Válido,Válido
David Clark,80,ABATIÁ,PR,83791685422,51219853830691,Válido,Válido
Nicole Lewis,87,ANGRA DOS REIS,RJ,16921102840,17303237697749,Válido,Válido
Angela Zamora,30,ACARI,RN,07417379907,38400146863308,Válido,Válido
David Flores,28,ALTA FLORESTA D'OESTE,RO,96029631900,16724741990112,Válido,Válido
Kent Andrews,35,AMAJARI,RR,70884125513,97138536375774,Válido,Válido
Patricia Martinez,24,ACEGUÁ,RS,96758923827,96521677622226,Válido,Válido
Meghan Morrison,42,ABDON BATISTA,SC,47591143786,14217451447844,Válido,Válido
Annette Herrera,43,AMPARO DE SÃO FRANCISCO,SE,92247570062,96306007257904,Válido,Válido
Barbara Leon MD,73,ADAMANTINA,SP,05086323231,98992168836002,Válido,Válido
Justin Andersen,30,ABREULÂNDIA,TO,34245687088,26866823178760,Válido,Válido
Wesley Lee,28,ACRELÂNDIA,AC,79111554452,34205707583747,Válido,Válido
Jonathan Anderson,62,ÁGUA BRANCA,AL,14567033906,25564852664057,Válido,Válido
Kathy Bowman,82,ALVARÃES,AM,22382453672,38323943041584,Válido,Válido
Leah King,82,SERRA DO NAVIO,AP,57425502518,10007906232807,Válido,Válido
Nicholas Johnson,70,ABAÍRA,BA,18410328674,32981852682342,Válido,Válido
Matthew Fields,77,ABAIARA,CE,82777457883,50160746531098,Válido,Válido
Thomas Smith,63,Brasília,DF,16023528449,92512736753777,Válido,Válido
Sara James,40,AFONSO CLÁUDIO,ES,65550822598,35281439947766,Válido,Válido
Keith Robinson,80,ABADIA DE GOIÁS,GO,39214566143,66501166914304,Válido,Válido
Andrew Wood,86,AÇAILÂNDIA,MA,43987115629,32050721294848,Válido,Válido
Gordon Stephens,30,ABADIA DOS DOURADOS,MG,82547425610,36913960886848,Válido,Válido
Amy Davis,62,ÁGUA CLARA,MS,29745132470,64947184518795,Válido,Válido
Kristin Mcdaniel,79,ACORIZAL,MT,82761811208,64709072009818,Válido,Válido
Julie Thompson,57,ABAETETUBA,PA,53030519783,67505872613516,Válido,Válido
Steven Ramos,66,ÁGUA BRANCA,PB,36310656473,80984026508456,Válido,Válido
Allison Mueller,29,ABREU E LIMA,PE,28020391134,58190936196414,Válido,Válido
Donna Zimmerman,56,ACAUÃ,PI,15689286885,95164540498786,Válido,Válido
Kayla Curtis,78,ABATIÁ,PR,82852548011,95366516900234,Válido,Válido
Gary Pineda,42,ANGRA DOS REIS,RJ,12458789722,38287874622145,Válido,Válido
Lisa Baxter,24,ACARI,RN,68379697650,65357433374222,Válido,Válido
Michelle Wilson,27,ALTA FLORESTA D'OESTE,RO,27377207027,33963172192000,Válido,Válido
Pamela Black,55,AMAJARI,RR,54283791466,08157026681165,Válido,Válido
Michael Boyd,41,ACEGUÁ,RS,31063350093,27199674682605,Válido,Válido
Carolyn Taylor,62,ABDON BATISTA,SC,54042845525,89986256634645,Válido,Válido
Nathan Floyd,76,AMPARO DE SÃO FRANCISCO,SE,11772208140,92625646258864,Válido,Válido
Stephen Torres,48,ADAMANTINA,SP,92254599470,51006075009924,Válido,Válido
Emily Wilson,86,ABREULÂNDIA,TO,57057488769,96720214047760,Válido,Válido
Amanda Hobbs,80,ACRELÂNDIA,AC,05055277580,54492254062557,Válido,Válido
Randy Bailey,32,ÁGUA BRANCA,AL,53066383415,40303858573425,Válido,Válido
Heather Mccarthy,42,ALVARÃES,AM,61865290700,86838303214241,Válido,Válido
William Davis,82,SERRA DO NAVIO,AP,28870789330,03081296955933,Válido,Válido
Devin Morris,38,ABAÍRA,BA,19435641679,76472727172260,Válido,Válido
Jenna White,32,ABAIARA,CE,72407555252,40260403080600,Válido,Válido
Kimberly Sherman,77,Brasília,DF,73212451955,02500244436617,Válido,Válido
David Mitchell,36,AFONSO CLÁUDIO,ES,72992871702,02121349200971,Válido,Válido
Victoria Sweeney,30,ABADIA DE GOIÁS,GO,75146548013,75527460849622,Válido,Válido
Patrick Johnson,72,AÇAILÂNDIA,MA,75069665227,80060366416537,Válido,Válido
Kevin Miller,33,ABADIA DOS DOURADOS,MG,27921075533,87627534085606,Válido,Válido
Lauren Morrison,76,ÁGUA CLARA,MS,25053233136,33874640779675,Válido,Válido
Bridget Jones,37,ACORIZAL,MT,52210218977,69774398704001,Válido,Válido
Joseph Rios,63,ABAETETUBA,PA,73693717605,84169834445400,Válido,Válido
Julie Walls,49,ÁGUA BRANCA,PB,28426029353,17121235479235,Válido,Válido
John Martinez,55,ABREU E LIMA,PE,24865138099,38279342891493,Válido,Válido
David Martinez,25,ACAUÃ,PI,60533839378,84780241685002,Válido,Válido
Seth Shea,87,ABATIÁ,PR,08800362907,49405163953922,Válido,Válido
Jaclyn Daniels,57,ANGRA DOS REIS,RJ,67643003050,46293293704892,Válido,Válido
Darrell Smith,80,ACARI,RN,99103515524,25226377457801,Válido,Válido
Joseph Williams,23,ALTA FLORESTA D'OESTE,RO,67827753604,89386233730232,Válido,Válido
Michelle Schmidt,40,AMAJARI,RR,02584310759,31364364069621,Válido,Válido
Christopher Crane,63,ACEGUÁ,RS,53198067014,14409710614409,Válido,Válido
Melody Arnold,28,ABDON BATISTA,SC,99587407024,70289857870560,Válido,Válido
Frank Miller,35,AMPARO DE SÃO FRANCISCO,SE,21086642708,05601484952360,Válido,Válido
Kelli Poole,22,ADAMANTINA,SP,34228364209,97538603622850,Válido,Válido
Brian Grant,40,ABREULÂNDIA,TO,25926134390,89905193753905,Válido,Válido
Alan Juarez,81,ACRELÂNDIA,AC,24323027451,06116849575430,Válido,Válido
Jennifer Herrera,44,ÁGUA BRANCA,AL,05944330538,44338019631100,Válido,Válido
Michael Anderson,47,ALVARÃES,AM,25816374206,04705908871616,Válido,Válido
Mr. Derrick Walker III,67,SERRA DO NAVIO,AP,86709815722,72983983233406,Válido,Válido
Lisa Adams,56,ABAÍRA,BA,17102683367,07752430833070,Válido,Válido
Phyllis Davis,81,ABAIARA,CE,10941674363,25441970136802,Válido,Válido
Kimberly Gaines,26,Brasília,DF,58990464145,51208722841996,Válido,Válido
Erika White,39,AFONSO CLÁUDIO,ES,86455095987,50531473539297,Válido,Válido
Stephanie Petersen,32,ABADIA DE GOIÁS,GO,20318573202,32598177031430,Válido,Válido
Timothy Thomas,57,AÇAILÂNDIA,MA,22135657409,83845376709590,Válido,Válido
Travis Griffin,23,ABADIA DOS DOURADOS,MG,19965886725,92969475277410,Válido,Válido
John Robinson,31,ÁGUA CLARA,MS,80671201379,08547368162755,Válido,Válido
Emily Smith,79,ACORIZAL,MT,31530403626,30097397584110,Válido,Válido
Tyler Fernandez,26,ABAETETUBA,PA,66089333204,85336615215932,Válido,Válido
Steven Martinez,37,ÁGUA BRANCA,PB,75262527701,99235616826457,Válido,Válido
Meghan Coffey,63,ABREU E LIMA,PE,66635918191,47268825370408,Válido,Válido
John Holmes,85,ACAUÃ,PI,07291253276,25881963791528,Válido,Válido
Jordan Brock,61,ABATIÁ,PR,29341177405,04081082954281,Válido,Válido
Stephanie Mendez,66,ANGRA DOS REIS,RJ,04752838800,82804534288805,Válido,Válido
Adrian Bryant,33,ACARI,RN,01562495020,97740191451412,Válido,Válido
Jose Burton,65,ALTA FLORESTA D'OESTE,RO,59565808875,35151610774001,Válido,Válido
Christopher Knight,76,AMAJARI,RR,85213801277,70860699845790,Válido,Válido
Tiffany Carrillo,61,ACEGUÁ,RS,47122359344,67964379096560,Válido,Válido
John Mcdonald,44,ABDON BATISTA,SC,26459873704,41080118373937,Válido,Válido
Dalton Pierce,32,AMPARO DE SÃO FRANCISCO,SE,77939530534,49747484805124,Válido,Válido
Michael Castillo,89,ADAMANTINA,SP,11161836179,76065114066603,Válido,Válido
Amanda Barnett,37,ABREULÂNDIA,TO,29594053828,98967609682620,Válido,Válido
Jeffrey King,90,ACRELÂNDIA,AC,50066235944,15245381240961,Válido,Válido
Alex Murphy,34,ÁGUA BRANCA,AL,83064446398,19340044456087,Válido,Válido
Ryan Greene,82,ALVARÃES,AM,88527388600,20318973896125,Válido,Válido
Jennifer Bridges,26,SERRA DO NAVIO,AP,53239536242,53269139784690,Válido,Válido
Gregory Hughes,26,ABAÍRA,BA,99036807670,88470340152903,Válido,Válido
John Marshall,60,ABAIARA,CE,98671530817,13776589478708,Válido,Válido
Carol Perkins,24,Brasília,DF,34498482166,69068120112863,Válido,Válido
Julie Delgado,81,AFONSO CLÁUDIO,ES,62640338471,90383600838857,Válido,Válido
Hannah Hines,32,ABADIA DE GOIÁS,GO,20925286702,56685168062758,Válido,Válido
Joseph Gray,30,AÇAILÂNDIA,MA,45049201152,83634083265908,Válido,Válido
Christopher Harper,75,ABADIA DOS DOURADOS,MG,96242416190,53504090391121,Válido,Válido
Jason Williams,45,ÁGUA CLARA,MS,01081434490,25372710988314,Válido,Válido
Michael Taylor,52,ACORIZAL,MT,20428558984,23175643888440,Válido,Válido
Ashley Edwards,89,ABAETETUBA,PA,98621300753,45128781305324,Válido,Válido
Stacey Harris,64,ÁGUA BRANCA,PB,67999957410,86389884893405,Válido,Válido
Mary Mendez,37,ABREU E LIMA,PE,83291155939,86650022725516,Válido,Válido
Lynn Hancock MD,44,ACAUÃ,PI,48776888118,96434425424972,Válido,Válido
David Stevens,89,ABATIÁ,PR,62636269177,84064557299700,Válido,Válido
Anthony Jones,49,ANGRA DOS REIS,RJ,34492787119,42082003216920,Válido,Válido
Kelly Pena,59,ACARI,RN,08890379650,23232921240305,Válido,Válido
Michelle Bennett,51,ALTA FLORESTA D'OESTE,RO,50310567467,43603711768029,Válido,Válido
James Li,40,AMAJARI,RR,04812150426,93917858098821,Válido,Válido
Michael Thomas,87,ACEGUÁ,RS,24543065654,07723578866503,Válido,Válido
Bethany Diaz,27,ABDON BATISTA,SC,62099648506,00003495644263,Válido,Válido
Anthony Howard,57,AMPARO DE SÃO FRANCISCO,SE,83669510656,64352959508474,Válido,Válido
Carlos Payne,61,ADAMANTINA,SP,35122289093,13257452253494,Válido,Válido
Craig Walker,71,ABREULÂNDIA,TO,74257783192,20137525954931,Válido,Válido
Kyle Williams,81,ACRELÂNDIA,AC,91581794886,53415639743407,Válido,Válido
Roy Townsend,48,ÁGUA BRANCA,AL,08507983375,76387898355108,Válido,Válido
Joseph Elliott,37,ALVARÃES,AM,99115506134,67475348317819,Válido,Válido
Joseph Ho,28,SERRA DO NAVIO,AP,49329225829,16966018967679,Válido,Válido
Darrell Sexton,51,ABAÍRA,BA,15368324219,61946809829469,Válido,Válido
Joseph Turner,87,ABAIARA,CE,30858177358,66737056871787,Válido,Válido
Heather Thomas,64,Brasília,DF,98851634769,68313717263993,Válido,Válido
Dawn Jones,21,AFONSO CLÁUDIO,ES,91183244100,87742757986093,Válido,Válido
Manuel Frank,69,ABADIA DE GOIÁS,GO,13163936237,48469721905808,Válido,Válido
Paul Brennan,47,AÇAILÂNDIA,MA,29019278231,37793898062990,Válido,Válido
Erin Obrien,18,ABADIA DOS DOURADOS,MG,56139719860,04451999609124,Válido,Válido
Peter Jackson,74,ÁGUA CLARA,MS,10433110090,57978318055141,Válido,Válido
Susan Silva,61,ACORIZAL,MT,02242021460,41574152054277,Válido,Válido
Madeline Hill,28,ABAETETUBA,PA,76762652824,87230981043380,Válido,Válido
Mr. Charles Schwartz,47,ÁGUA BRANCA,PB,01473369290,78060778010570,Válido,Válido
Melissa Petersen,90,ABREU E LIMA,PE,92665808641,23803319894828,Válido,Válido
Kathryn Fowler,39,ACAUÃ,PI,17694391294,34971771669889,Válido,Válido
Shane Villa,59,ABATIÁ,PR,79415329998,51204149855650,Válido,Válido
Heather Mosley,84,ANGRA DOS REIS,RJ,73696720852,92484077361979,Válido,Válido
Michael Benson,20,ACARI,RN,56297605300,95009048358993,Válido,Válido
Joel Kelly,73,ALTA FLORESTA D'OESTE,RO,75297450500,70150966108048,Válido,Válido
Miss Christine Allen DVM,31,AMAJARI,RR,63331267805,37874234002111,Válido,Válido
Jose Jenkins,73,ACEGUÁ,RS,66424092307,95869381658771,Válido,Válido
David Gill,81,ABDON BATISTA,SC,65601866953,16777448762676,Válido,Válido
Aaron Franco,33,AMPARO DE SÃO FRANCISCO,SE,64379535517,52729900630864,Válido,Válido
Allen Powell,90,ADAMANTINA,SP,28146746330,75062174631412,Válido,Válido
Amber Taylor,41,ABREULÂNDIA,TO,10401840492,27510140066930,Válido,Válido
Vanessa Haynes,32,ACRELÂNDIA,AC,75791090854,64644828102910,Válido,Válido
Darren Davis,61,ÁGUA BRANCA,AL,11841573329,80592980588081,Válido,Válido
Daniel Davis,45,ALVARÃES,AM,80610637355,91637625761158,Válido,Válido
William Morales,22,SERRA DO NAVIO,AP,26217700379,39881898166918,Válido,Válido
Christina Simpson,67,ABAÍRA,BA,83852685370,93064181937780,Válido,Válido
Kevin Wright,75,ABAIARA,CE,24326051442,68004443313214,Válido,Válido
Adam Cannon,67,Brasília,DF,97123605390,38051143111517,Válido,Válido
Jason Hall,58,AFONSO CLÁUDIO,ES,20821547348,12558696147768,Válido,Válido
Matthew Wagner,67,ABADIA DE GOIÁS,GO,55234980170,58608836326776,Válido,Válido
Colleen Hall,41,AÇAILÂNDIA,MA,08946760915,38721671317231,Válido,Válido
Robert Smith,61,ABADIA DOS DOURADOS,MG,87241892437,70885137114755,Válido,Válido
Ashley Nash,67,ÁGUA CLARA,MS,19486718750,87875762986740,Válido,Válido
Jennifer Sullivan,60,ACORIZAL,MT,09588951712,62350742993772,Válido,Válido
Daisy Herrera,37,ABAETETUBA,PA,49166470684,40849370899506,Válido,Válido
Joshua Garcia,85,ÁGUA BRANCA,PB,71461682045,91915626999105,Válido,Válido
William Joseph,49,ABREU E LIMA,PE,32100992864,17806292816432,Válido,Válido
Jackie Ford,22,ACAUÃ,PI,72634458401,24836512266932,Válido,Válido
Laura Wagner,55,ABATIÁ,PR,17016662608,21142998414880,Válido,Válido
Justin Day,23,ANGRA DOS REIS,RJ ,65453295708,80358716562011,Válido,Válido
Chloe Lambert,76,ACARI,RN,17895378864,80378236559224,Válido,Válido
Gary Christensen,53,ALTA FLORESTA D'OESTE,RO,48442882456,37749502065175,Válido,Válido
Virginia Thomas,20,AMAJARI,RR,21988421578,38277737307879,Válido,Válido
Nicole Spence,33,ACEGUÁ,RS,35001275768,39119095680306,Válido,Válido
Bryan Arellano,58,ABDON BATISTA,SC,73551845719,26593989986970,Válido,Válido
Thomas Thompson,34,AMPARO DE SÃO FRANCISCO,SE,95227612064,24497914052801,Válido,Válido
Tony Murphy,66,ADAMANTINA,SP,09163622211,32375015123710,Válido,Válido
Jamie Jones,23,ABREULÂNDIA,TO,10635967260,34835066619750,Válido,Válido
